Aarubari;Tarkhagal;Simaltar Gumba;Kailash Bodhi School;Ramhiti;Mahankal;Pani Tankey;Chuchepati;Chabhahil Chowk;Mitra Park;Jaya Bageswori;Gausala Chowk;Ratopul;Gyaneshwor;Maitidevi;Dillibazar;Charkhal;Putalisadak;Bagbazar;Ratnapark;Purano Buspark;Bhrikutimandap;Bhadrakali Mandir;Sahid Gate;Sundhara;NAC Bus Stop;;;;;;;;;;;;;;;;;;;;
27.7163631;27.7169416;27.6996377;27.6950535;27.6842302;27.6717628;27.6717628;27.6717628;27.7577071;27.6746945;27.6781812;27.6899694;27.6765033;27.6754921;27.6738134;27.6751172;27.6755549;27.6915087;27.6915196;27.6687473;27.6879909;27.6867401;27.6934832;27.6919767;27.6953446;27.7590715;27.6995727;27.7000078;27.702504;27.7048249;27.7071328;27.7060531;27.7042474;;;;;;;;;;;;;
85.4306661;85.4327558999999;85.417344;85.4158166;85.4111025999999;85.4078902;85.4078902;85.4078902;85.3147525999999;85.3977719;85.3807886;85.3904307;85.3743339;85.3659414999999;85.3594849999999;85.3532927999999;85.3459238;85.2993765;85.3420486;85.317499;85.3355742;85.3304211999999;85.3242836;85.3229913;85.3252527;85.3450963;85.3150649999999;85.311683;85.3135183;85.3136514;85.3141871999999;85.3148081;85.3163779;;;;;;;;;;;;;
Changunarayan Bus Park;Jagati, Bhaktapur;Indra Chowk;Ghumti Ghar;Pikhel;Pakune Pati;Khwopa College;Dekocha Changu Stop;Mahakali Bus Stop;Sano Byasi;Thulo Byasi;Kalopati, Bhaktapur;Dudhpati, Bhaktapur;Siddhapokhari;Sallaghari, Byasi;Sallaghari, Suryabinayak;Srijana Nagar;Radhe Radhe, Bhaktapur;Naya Thimi, Bus Stand;Chardobato, Naya Thimi;Gaththaghar;Kausaltar;Lokanthali;Jadibuti;Koteshwor;Kuleshwor Tinkune;Shantinagar;Minbhawan;Naya Baneshwor;Buddhanagar;Babarmahal;Maitighar;Singhadurbar;Putalisadak;Bagbazar;Ratnapark;;;;;;;;;;
27.7163631;27.6664822;27.706149;27.7055674;27.7022713;27.6970325;27.678014;27.6772943;27.6758949;27.674084;27.6748475;27.6774554;27.6721033;27.6719895;27.6717628;27.6717628;27.7577071;27.6746945;27.6781812;27.6899694;27.6765033;27.6754921;27.6738134;27.6751172;27.6755549;27.6915087;27.6915196;27.6687473;27.6879909;27.6867401;27.6934832;27.6919767;27.6953446;27.7029275;27.7046582;27.7060531;;;;;;;;;;
85.4306661;85.4342499;85.3094211;85.4396759999999;85.4399335;85.4407114;85.4324319;85.4314318;85.4306357;85.4283688;85.4293361;85.4253305;85.4182111;85.4203072999999;85.4078902;85.4078902;85.3147525999999;85.3977719;85.3807886;85.3904307;85.3743339;85.3659414999999;85.3594849999999;85.3532927999999;85.3459238;85.2959032999999;85.3420486;85.317499;85.3355742;85.3304211999999;85.3242836;85.3229913;85.3252527;85.3223452;85.3194374999999;85.3148081;;;;;;;;;;
Chyamasingh;Jagati, Bhaktapur;Suryabinayak;Chundevi;Sallaghari, Suryabinayak;Srijana Nagar;Radhe Radhe, Bhaktapur;Naya Thimi, Bus Stand;Chardobato, Naya Thimi;Gaththaghar;Kausaltar;Lokanthali;Jadibuti;Koteshwor;Bhatbhateni, Koteshwor;Balkumari;Gwarko;Satdobato;Chapagaun Dobato, Satdobato;Mahalaxmisthan, Patan;Thasikhel;Yatayat, Ekantakuna;Ekantakuna Chowk;nakkhu;Bagdol;Dhobighat, Balkhu;Nayabato, Balkhu;Sanepa Height;Sanepa;Balkhu;Balkhu Dakhsinkali Turning;Sita Petrol Pump, Kalanki;Khasibazar, Kalanki;Kalanki;;;;;;;;;;;;
27.6738839;27.6664822;27.6451028;27.6668816;27.6717628;27.7577071;27.6746945;27.6781812;27.6899694;27.6765033;27.6754921;27.6738134;27.6751172;27.6755549;27.6747705;27.6695288;27.6663423;27.6515356;27.6577849;27.6636478;27.6679069;27.6654042;27.6677761;27.6638808;27.6665055;27.6862726;27.6862726;27.6838754;27.6844496;27.6862726;27.6215;27.6880687;27.6893754;27.6931052;;;;;;;;;;;;
85.4383628;85.4342499;85.4427152999999;85.4170810999999;85.4078902;85.3147525999999;85.3977719;85.3807886;85.3904307;85.3743339;85.3659414999999;85.3594849999999;85.3532927999999;85.3459238;85.3445431;85.3407568;85.3330053;85.327837;85.3224422999999;85.3181451999999;85.314268;85.3113544;85.3103905;85.306311;85.3015078;85.2948778;85.2948778;85.3084571;85.3058664;85.2948778;85.2618986999999;85.2867318;85.2852157;85.2806538999999;;;;;;;;;;;;
Chyamasingh;Pharphing;Suryabinayak;Chundevi;Sallaghari, Suryabinayak;Srijana Nagar;Radhe Radhe, Bhaktapur;Naya Thimi, Bus Stand;Chardobato, Naya Thimi;Gaththaghar;Kausaltar;Lokanthali;Jadibuti;Koteshwor;Kuleshwor Tinkune;Shantinagar;Minbhawan;Naya Baneshwor;Buddhanagar;Babarmahal;Maitighar;Singhadurbar;Bhadrakali Mandir;Sahid Gate;Sundhara;NAC Bus Stop;Bir Hospital;Bhotahiti;Ratnapark;;;;;;;;;;;;;;;;;
27.6738839;27.6128068;27.6451028;27.6668816;27.6717628;27.7577071;27.6746945;27.6781812;27.6899694;27.6765033;27.6754921;27.6738134;27.6751172;27.6755549;27.6915087;27.6915196;27.6687473;27.6879909;27.6867401;27.6934832;27.6919767;27.6953446;27.7590715;27.6995727;27.7000078;27.702504;27.7048249;27.7071328;27.7060531;;;;;;;;;;;;;;;;;
